author,content,country,date_time,id,language,latitude,longitude,number_of_likes,number_of_shares,sentimento,confianca
katyperry,Lets also work on the hearts and minds of this country and that is how real change will begin.,,11/11/2016 04:02,7.96926e+17,en,,,19186,5747,positivo,0.99
katyperry,"Remember to take care of your mental health. Talk with counselors/therapists/ur tribe. Lean on your friends, don't stop communicating.",,11/11/2016 04:00,7.96925e+17,en,,,26395,9851,positivo,0.98
katyperry,We need more courageous men like this to speak up and say that there is GREAT examples of men out there: https://t.co/daRuHfysSm,,10/11/2016 08:30,7.96631e+17,en,,,16456,6295,positivo,0.98
katyperry,🙏🏼🇺🇸PEACEFULLY PROTEST🇺🇸🙏🏼,,10/11/2016 06:33,7.96602e+17,en,,,37850,12448,positivo,0.99
katyperry,Fight for what is RIGHT.,,09/11/2016 16:55,7.96396e+17,en,,,49083,24773,positivo,0.98
katyperry,Do not sit still. Do not weep. MOVE. We are not a nation that will let HATE lead us.,,09/11/2016 08:15,7.96265e+17,en,,,85100,45074,positivo,0.98
katyperry,WE WILL NEVER BE SILENCED. #LOVETRUMPSHATE,,09/11/2016 08:13,7.96264e+17,en,,,44808,22630,positivo,0.98
katyperry,POWER TO THE PEOPLE,,09/11/2016 08:10,7.96264e+17,en,,,31136,13120,positivo,0.99
katyperry,RISE UP,,09/11/2016 08:03,7.96262e+17,en,,,30837,14186,positivo,0.99
katyperry,THE REVOLUTION IS COMING.,,09/11/2016 05:46,7.96227e+17,en,,,55651,36070,positivo,0.98
katyperry,WE WILL NEVER BE SILENCED. https://t.co/Co4CYBXg8j,,09/11/2016 05:43,7.96227e+17,en,,,39792,20914,positivo,0.98
katyperry,Gonna cry my false eye lashes off tonight. ❤️🙏🏼🇺🇸,,09/11/2016 00:33,7.96149e+17,en,,,40479,14352,negativo,0.98
katyperry,Throw back to Oct 25th when I gave myself the best bday prezzy ever by voting for my girl… https://t.co/i68TG6Ixi1,,08/11/2016 21:47,7.96107e+17,en,,,9695,2329,positivo,0.98
katyperry,HOPE YOU ARE ROARING YOUR WAY TO THE POLLS STILL! 👊🏼🦁🐯❤️🇺🇸: https://t.co/tNQit6ZIA6,,08/11/2016 20:04,7.96081e+17,en,,,11822,3381,positivo,0.98
katyperry,✔️ote #Yeson64! Let's rewrite our narrative California❗️ https://t.co/myS49evfEf by @dreamhampton,,08/11/2016 18:24,7.96056e+17,en,,,5865,1710,positivo,0.98
katyperry,🔮 https://t.co/aFzxsIRfhn,,08/11/2016 06:29,7.95876e+17,und,,,9348,2395,positivo,0.98
katyperry,If hell had a smell it would be used dental floss and earring backs. 😷,,08/11/2016 04:00,7.95838e+17,en,,,14043,3524,negativo,0.98
katyperry,My name is 🐶 Nugget 🐶 and I approve this message. GO ✔OTE❗Find out where: https://t.co/rL2nZQ97cd https://t.co/qgoUYddQaC,,07/11/2016 17:38,7.95682e+17,en,,,20789,6894,positivo,0.98
katyperry,"Want niche? Inside jokes? Mega Meta? Think ur the only 1 thinking the demented way ur thinking? Go see ""Oh Hello"" on Broadway &amp; find ur ppl.",,07/11/2016 02:06,7.95447e+17,en,,,13539,2935,positivo,0.98
katyperry,HILL-ADELPHIA FTW! In less than 3 days be apart of HISTORY and make #HERstory 🇺🇸 #november8th… https://t.co/pNV46unbxj,,06/11/2016 05:56,7.95143e+17,en,,,9067,2363,positivo,0.98
katyperry,omg idk this is totes my vocab https://t.co/WEYhIPxB4Q,,05/11/2016 00:09,7.94693e+17,en,,,9741,2601,negativo,0.98
katyperry,Done with my 🎄Christmas🎄shopping ✔️ https://t.co/wW8n4SirXx,,04/11/2016 04:16,7.94393e+17,en,,,9944,2360,positivo,0.98
katyperry,🎣🐟🐠🐋,,03/11/2016 23:55,7.94327e+17,und,,,10197,4432,negativo,0.85
katyperry,AYE! 📲 Text ROAR to 47246 to score free 🎟 to see me &amp; @HillaryClinton this Saturday in PHILLY! (I'll be the one singing 🎤) #LoveTrumpsHate❤️,,01/11/2016 22:25,7.9358e+17,en,,,11256,2982,positivo,0.98
katyperry,Welp. The airline lost my luggage so I guess I'll just wear my tracksuit for Halloween 💁🏻 Now THAT'S scary. 🎃,,31/10/2016 20:47,7.93193e+17,en,,,17972,4088,negativo,0.85
katyperry,🎃MY FAM &gt; YOUR FAM🎃 I have roots from both Santa Barbara and Arkansas (think Appalachian… https://t.co/lOfgWsoS09,,31/10/2016 18:42,7.93161e+17,en,,,8049,2351,neutro,0.85
katyperry,@PrismsPerry like I work on myself so I can be better for me and you ❤️,,31/10/2016 18:01,7.93151e+17,en,,,3428,1291,positivo,0.98
katyperry,@perrysmic not really but sometimes I don't know my own strength 😔,,31/10/2016 18:00,7.93151e+17,en,,,2500,740,negativo,0.85
katyperry,@focusonreid great get your Pantone book out,,31/10/2016 17:59,7.9315e+17,en,,,2240,619,negativo,0.85
katyperry,"My fav combo of ppl all in one pic, I only roll with world changers❗️ https://t.co/oH37gAsO7c",,31/10/2016 16:24,7.93127e+17,en,,,6478,1684,positivo,0.98
katyperry,Halloween 2k16 🇺🇸💯🙏🏼 https://t.co/vCweRxoeun,,30/10/2016 15:45,7.92754e+17,en,,,30840,9619,positivo,0.98
katyperry,"Thanks @COVERGIRL for keeping everyone clean-cut and QT at Hudson High, Home of the Poodles. 💋,… https://t.co/Txo3zIPtBl",,30/10/2016 06:51,7.9262e+17,en,,,8386,1932,negativo,0.9
katyperry,"❤️BILL &amp; HILL 4EVA❤️ Hair, makeup &amp; prosthetics by: @TonyatAlterian makeup_man… https://t.co/kI4nL7EcMv",,30/10/2016 01:30,7.92539e+17,en,,,7635,1940,positivo,0.98
katyperry,Having a little pre party before I take office #IMWITHME Cheers to… https://t.co/7SzIzrmwv0,,29/10/2016 06:54,7.92258e+17,en,,,8940,2163,positivo,0.98
katyperry,HBD BOSS❗️🎂🎁🇺🇸 https://t.co/0M4BKpNt82,,26/10/2016 21:23,7.9139e+17,in,,,11425,2800,positivo,0.98
katyperry,just went in the pit @kanyewest for my bday. 32 is lookin ⬆️,,26/10/2016 05:44,7.91153e+17,en,,,17671,4654,negativo,0.85
katyperry,GAVE MYSELF THE BEST BIRTHDAY PRESENT EVER BY VOTING TODAY❗️Wish hillaryclinton a Happy Birthday… https://t.co/F53ik6Tkg9,,26/10/2016 02:07,7.91099e+17,en,,,12150,3003,positivo,0.98
katyperry,Help me celebrate my birthday with the purchase of a lifesaving @UNICEF Inspired Gift! https://t.co/R2rSxS1rm7 🎂 #childrenfirst ❤️,,25/10/2016 19:35,7.91e+17,en,,,30015,9456,positivo,0.98
katyperry,@wtfkates yeah but 32 is 23 backwards so 🍷,,25/10/2016 08:48,7.90837e+17,en,,,6039,2114,positivo,0.98
katyperry,@sella_sandra also this is real and not an edit I can tell by the icing I'm so proud of u,,25/10/2016 08:43,7.90836e+17,en,,,3809,1041,positivo,0.98
katyperry,@greg_wells go to bed dad,,25/10/2016 08:42,7.90836e+17,en,,,3281,838,negativo,0.85
katyperry,@KatyCute_ nugget❗️,,25/10/2016 08:40,7.90835e+17,en,,,3209,839,positivo,0.98
katyperry,@caitsperry combo,,25/10/2016 08:39,7.90835e+17,es,,,2821,728,positivo,0.98
katyperry,@katyperryforum I'm Kanye,,25/10/2016 08:27,7.90832e+17,ht,,,3776,1373,negativo,0.85
katyperry,Aw. You made me cry. Love you fam. ❤️ https://t.co/UBITydazRs,,25/10/2016 08:27,7.90832e+17,en,,,15950,5690,negativo,0.98
katyperry,@cynthialovely you're clever,,25/10/2016 08:21,7.90831e+17,en,,,2509,669,positivo,0.98
katyperry,Dope s/o 🙌🏼 https://t.co/d4sYO5oxQr,,25/10/2016 07:04,7.90811e+17,en,,,13002,4276,positivo,0.98
katyperry,level 32.,,25/10/2016 07:00,7.9081e+17,pt,,,20776,10145,neutro,0.9
katyperry,When you go dorm to dorm for @HillaryClinton @unlv: https://t.co/QhpekuVTur,,24/10/2016 00:56,7.90356e+17,en,,,9496,2364,neutro,0.75
katyperry,tap it if you're nasty @ UNLV Campus https://t.co/vDHH4kAVLO,,23/10/2016 07:13,7.90089e+17,en,,,7613,1836,positivo,0.98
katyperry,@radiantjareau so qt,,23/10/2016 06:54,7.90084e+17,en,,,2348,548,negativo,0.85
katyperry,@KatyCute_ this edit lol,,23/10/2016 06:54,7.90084e+17,en,,,2261,554,positivo,0.98
katyperry,@sella_sandra my birthdays soon💅🏼,,23/10/2016 06:43,7.90081e+17,en,,,2429,697,positivo,0.98
katyperry,@KpCatt @HillaryClinton next level,,23/10/2016 06:43,7.90081e+17,en,,,2058,510,positivo,0.98
katyperry,@perrysoldier Welcs ho,,23/10/2016 06:37,7.9008e+17,en,,,1972,488,negativo,0.9
katyperry,@lillysgomez @lucycowell14 not for long👋🏼,,23/10/2016 06:31,7.90078e+17,en,,,1866,468,positivo,0.98
